park,n_pa,k_pct,park_k_factor
SEA,35840,25.42,111.8
MIL,36726,24.82,109.2
ATL,36347,24.33,107.1
TB,35281,24.08,106.0
NYY,36861,23.98,105.5
LAA,36014,23.97,105.5
PHI,37545,23.82,104.8
CIN,35991,23.62,103.9
LAD,37319,23.55,103.6
NYM,35687,23.48,103.3
SD,36009,23.19,102.0
CHC,36602,23.14,101.8
MIN,36361,23.11,101.7
HOU,36981,23.09,101.6
SF,35634,22.92,100.8
MIA,35615,22.79,100.3
CWS,36007,22.57,99.3
TEX,36243,22.5,99.0
DET,35598,22.49,98.9
CLE,35942,22.46,98.8
BOS,37124,22.18,97.6
ATH,36032,22.16,97.5
BAL,36247,22.13,97.4
PIT,36125,22.04,97.0
TOR,36514,22.03,96.9
AZ,37612,20.89,91.9
WSH,35855,20.34,89.5
STL,35694,20.29,89.3
COL,37376,20.24,89.0
KC,35765,20.2,88.9
